City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,el calafate,-50.3408,-72.2768,9.35,49,46,1.91,AR,1733431073
179,dunedin,-45.8742,170.5036,13.22,81,37,3.58,NZ,1733431074
180,tsengel,49.4783,100.8894,-11.97,78,61,2.78,MN,1733431075
181,at taj,24.2049,23.2857,12.78,36,48,1.2,LY,1733431076
182,gilgit,35.9221,74.3087,-3.04,45,0,1.92,PK,1733431077
183,santa ana,33.7456,-117.8678,19.82,87,100,2.06,US,1733431078
184,hola,51.5377,23.1902,0.62,97,100,2.7,PL,1733431079
185,rotonda west,26.8837,-82.2901,23.32,53,0,2.57,US,1733431080
186,dryden,49.7833,-92.7503,-10.84,79,40,5.14,CA,1733431081
187,usogorsk,63.4106,48.6872,-11.51,93,18,3.15,RU,1733431082
188,kargasok,59.0556,80.8572,-5.76,90,100,5.2,RU,1733431084
189,porto franco,-6.3383,-47.3992,28.15,61,100,0.9,BR,1733431085
190,tura,25.5198,90.2201,14.71,74,0,1.2,IN,1733431086
191,homer,59.6425,-151.5483,5.02,87,20,1.54,US,1733431087
192,tangalle,6.024,80.7911,24.77,85,98,0.69,LK,1733431088
193,enewetak,11.3474,162.3373,28.06,81,8,11.08,MH,1733431089
194,mahina,-17.5065,-149.489,28.87,61,75,6.69,PF,1733431090
195,vilcun,-38.65,-72.2333,12.75,92,89,1.37,CL,1733431091
196,palikir - national government center,6.9248,158.1611,28.47,84,100,7.2,FM,1733431093
197,kupang,-10.1667,123.5833,26.32,100,75,1.03,ID,1733431094
198,taltal,-25.4,-70.4833,19.34,67,99,3.52,CL,1733431095
199,douentza,14.9951,-2.9517,23.74,14,24,2.52,ML,1733431096
200,port mathurin,-19.6833,63.4167,24.25,80,88,8.21,MU,1733431097
201,nahiyat ash shinafiyah,31.5874,44.6602,15.22,25,0,3.3,IQ,1733431098
202,revda,56.801,59.9303,-8.65,89,95,4.09,RU,1733431099
203,new norfolk,-42.7826,147.0587,15.95,54,27,1.09,AU,1733431100
204,tolanaro,-25.0319,46.9987,26.04,83,0,9.26,MG,1733431101
205,tchintabaraden,15.8969,5.7985,21.6,14,100,3.19,NE,1733431102
206,walvis bay,-22.9575,14.5053,16.53,88,5,2.57,NA,1733431103
207,shitanjing,39.2342,106.3439,-4.16,60,4,6.48,CN,1733431105
208,anshun,26.25,105.9333,5.5,89,100,3.72,CN,1733431106
209,khovd,48.0056,91.6419,-11.87,68,4,1.84,MN,1733431107
210,polyarnyy,69.1989,33.4478,-3.68,85,90,8.97,RU,1733431108
211,sinabang,2.4803,96.3801,25.18,87,91,2.6,ID,1733431109
212,ankazoabo,-22.2833,44.5167,23.59,75,21,0.63,MG,1733431110
213,klyuchi,52.2667,79.1667,-13.29,94,13,2.91,RU,1733431111
214,turochak,52.2576,87.1224,-13.11,98,77,0.85,RU,1733431112
215,port saint john's,-31.6229,29.5448,21.37,86,100,3.72,ZA,1733431113
216,kirensk,57.7853,108.1119,-22.65,99,100,1.69,RU,1733431114
217,tangshan,39.6333,118.1833,-0.62,33,22,1.77,CN,1733431115
218,jayapura,-2.5333,140.7,24.66,92,94,1.79,ID,1733431116
219,palafrugell,41.9174,3.1631,8.21,81,94,1.1,ES,1733431117
220,harper,4.375,-7.7169,26.19,85,62,4.66,LR,1733431118
221,rio gallegos,-51.6226,-69.2181,8.03,46,0,3.6,AR,1733431119
222,kristiansund,63.1115,7.732,6.36,45,0,5.14,NO,1733431120
223,erdenet,49.0333,104.0833,-10.35,68,100,1.92,MN,1733431121
224,vadso,70.0744,29.7487,-5.91,73,40,10.29,NO,1733431122
225,tralee,52.2704,-9.7026,8.49,72,31,7.17,IE,1733431123
226,porbandar,21.6422,69.6093,24.3,41,82,3.93,IN,1733431124
227,zeya,53.75,127.2667,-16.08,82,100,2.9,RU,1733431125
228,santa monica,34.0195,-118.4912,22.5,71,0,2.24,US,1733430980
229,verkhnevilyuysk,63.4453,120.3167,-21.91,96,64,2.8,RU,1733431128
230,mangrol,21.1167,70.1167,24.16,46,100,4.83,IN,1733431129
231,fada,7.25,4.0667,22.65,60,58,1.17,NG,1733431130
232,tasqala,51.1167,50.3167,-5.69,82,12,4.0,KZ,1733431131
233,northam,51.0333,-4.2167,9.82,77,38,12.66,GB,1733431132
234,pacocha,-17.5833,-71.3333,22.08,56,20,4.12,PE,1733431133
235,east london,-33.0153,27.9116,20.3,73,100,3.63,ZA,1733431134
236,darhan,49.4867,105.9228,-10.77,96,100,1.54,MN,1733431135
237,beau vallon,-20.4189,57.6953,24.13,73,20,1.54,MU,1733431136
238,exmouth,50.6172,-3.4023,9.92,88,64,11.95,GB,1733431137
239,aur,8.1499,171.1687,28.28,83,57,9.95,MH,1733431138
240,wagar,16.1525,36.2032,23.59,76,1,6.81,SD,1733431139
241,tayoltita,24.0833,-105.9333,31.22,20,15,3.09,MX,1733431140
242,essaouira,31.5125,-9.77,18.72,45,83,2.06,MA,1733431141
243,alaghsas,17.0187,8.0168,21.63,14,97,3.59,NE,1733431142
244,santa elena de uairen,4.6167,-61.1333,23.31,67,89,1.78,VE,1733431143
245,gualeguay,-33.1416,-59.3097,30.98,30,100,4.97,AR,1733431144
246,villa del totoral,-30.8167,-63.7167,32.4,40,38,6.89,AR,1733431145
247,anaconda,46.1285,-112.9423,9.18,44,0,2.32,US,1733431146
248,khorugh,37.4897,71.553,-23.39,62,0,0.47,TJ,1733431147
249,vernon,50.2581,-119.2691,1.63,68,12,2.68,CA,1733431148
250,al kharijah,25.4514,30.5464,14.49,47,67,2.87,EG,1733431149
251,boende,-0.2167,20.8667,23.15,83,95,1.41,CD,1733431150
